company,rating,headquarters,salary estimate,job type,size,type,sector,revenue
"VIZIO, Inc.",4.0,"San Francisco, CA",121.0,Full-time,501 to 1000 employees,company - public,information technology,$2 to $5 billion (usd)
First Place for Youth,3.2,"Oakland, CA",116.0,Full-time,51 to 200 employees,nonprofit organization,non-profit,$10 to $25 million (usd)
Wider Circle,4.8,"Redwood City, CA",120.0,Full-time,1 to 50 employees,company - private,health care,unknown / non-applicable
Turo,4.6,"San Francisco, CA",132.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Bolt,4.5,"San Francisco, CA",126.0,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Aquabyte,4.2,"San Francisco, CA",130.0,Full-time,1 to 50 employees,company - private,information technology,less than $1 million (usd)
Indeed,4.3,"San Francisco, CA",163.0,Full-time,10000+ employees,company - private,information technology,$2 to $5 billion (usd)
Plaid,4.6,"San Francisco, CA",129.5,Full-time,501 to 1000 employees,company - private,information technology,unknown / non-applicable
Chan Zuckerberg Biohub,3.4,"San Francisco, CA",129.0,Full-time,1 to 50 employees,nonprofit organization,non-profit,unknown / non-applicable
TikTok,3.8,"Mountain View, CA",131.5,Full-time,501 to 1000 employees,company - private,information technology,unknown / non-applicable
Next Insurance,4.7,"Palo Alto, CA",117.0,Full-time,501 to 1000 employees,company - private,insurance,unknown / non-applicable
Compunnel Software Group,3.8,"Cupertino, CA",112.5,Full-time,1001 to 5000 employees,company - private,information technology,$100 to $500 million (usd)
Arkose Labs,4.4,"San Francisco, CA",119.0,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
DoorDash,4.0,"San Francisco, CA",148.0,Full-time,1001 to 5000 employees,company - public,information technology,unknown / non-applicable
6sense,4.9,"San Francisco, CA",139.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Blue Owl,4.8,"San Francisco, CA",161.5,Full-time,51 to 200 employees,company - private,insurance,unknown / non-applicable
Tubi,4.2,"San Francisco, CA",148.0,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Carta,4.0,"San Francisco, CA",131.5,Full-time,501 to 1000 employees,company - private,finance,unknown / non-applicable
Lyra Health,4.8,"Burlingame, CA",127.5,Full-time,201 to 500 employees,company - private,health care,$100 to $500 million (usd)
Cuberg,4.7,"Emeryville, CA",121.0,Full-time,1 to 50 employees,company - private,"oil, gas, energy & utilities",unknown / non-applicable
Carta,4.0,"San Francisco, CA",123.0,Full-time,501 to 1000 employees,company - private,finance,unknown / non-applicable
"Grammarly, Inc.",5.0,"San Francisco, CA",130.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
BICP,5.0,"San Francisco, CA",120.5,Full-time,1 to 50 employees,company - private,information technology,$10 to $25 million (usd)
Wealthfront,4.5,"Palo Alto, CA",158.0,Full-time,51 to 200 employees,company - private,finance,unknown / non-applicable
RAPP,3.7,"San Francisco, CA",125.5,Full-time,501 to 1000 employees,subsidiary or business segment,business services,unknown / non-applicable
Loom,4.9,"San Francisco, CA",143.5,Full-time,51 to 200 employees,company - private,information technology,$5 to $10 million (usd)
Facebook,4.3,"San Francisco, CA",141.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
"Zipcar, Inc.",3.5,"South San Francisco, CA",132.0,Full-time,201 to 500 employees,subsidiary or business segment,travel & tourism,$100 to $500 million (usd)
Extend,4.6,"San Francisco, CA",123.0,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Blue Shield of California,4.4,"Oakland, CA",126.0,Full-time,5001 to 10000 employees,nonprofit organization,insurance,$10+ billion (usd)
Lawrence Berkeley National Laboratory,4.3,"San Francisco, CA",132.5,Full-time,1001 to 5000 employees,government,government,$500 million to $1 billion (usd)
SymphonyAI,4.3,"Palo Alto, CA",115.0,Full-time,201 to 500 employees,company - private,finance,unknown / non-applicable
Moveworks.ai,4.8,"Mountain View, CA",132.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
ONX,4.3,"San Francisco, CA",105.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Slack,4.7,"San Francisco, CA",160.5,Full-time,1001 to 5000 employees,company - public,information technology,unknown / non-applicable
Quantifind,4.2,"Palo Alto, CA",116.5,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
PayPal,4.1,"San Jose, CA",136.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Discord,4.8,"San Francisco, CA",165.0,Full-time,51 to 200 employees,company - private,information technology,$1 to $5 million (usd)
Blue River Technology,4.5,"Sunnyvale, CA",114.0,Full-time,51 to 200 employees,subsidiary or business segment,information technology,unknown / non-applicable
Carta,4.0,"San Francisco, CA",118.5,Full-time,501 to 1000 employees,company - private,finance,unknown / non-applicable
Gap Inc.,3.7,"San Francisco, CA",130.5,Full-time,10000+ employees,company - public,retail,$10+ billion (usd)
Microsoft,4.4,"Sunnyvale, CA",136.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Grid Dynamics,4.3,"San Francisco, CA",124.0,Full-time,1001 to 5000 employees,company - private,information technology,$50 to $100 million (usd)
Exponent,3.8,"Menlo Park, CA",130.0,Full-time,1001 to 5000 employees,company - public,business services,$100 to $500 million (usd)
Spin,4.3,"San Francisco, CA",159.0,Full-time,501 to 1000 employees,company - private,information technology,unknown / non-applicable
Niantic,3.6,"San Francisco, CA",119.5,Full-time,501 to 1000 employees,company - private,media,unknown / non-applicable
Roblox,4.4,"San Mateo, CA",137.0,Full-time,501 to 1000 employees,company - public,information technology,unknown / non-applicable
Lyft,3.9,"Palo Alto, CA",126.5,Full-time,5001 to 10000 employees,company - public,information technology,unknown / non-applicable
Square,4.3,"San Francisco, CA",139.0,Full-time,5001 to 10000 employees,company - public,information technology,$1 to $2 billion (usd)
Centrify,3.4,"Santa Clara, CA",110.5,Full-time,201 to 500 employees,company - private,information technology,$100 to $500 million (usd)
Wish,3.4,"San Francisco, CA",139.5,Full-time,501 to 1000 employees,company - public,retail,$1 to $2 billion (usd)
Wish,3.4,"San Francisco, CA",139.5,Full-time,501 to 1000 employees,company - public,retail,$1 to $2 billion (usd)
Centrify,3.4,"Santa Clara, CA",110.5,Full-time,201 to 500 employees,company - private,information technology,$100 to $500 million (usd)
Extend,4.6,"San Francisco, CA",123.0,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Chan Zuckerberg Biohub,3.4,"San Francisco, CA",129.0,Full-time,1 to 50 employees,nonprofit organization,non-profit,unknown / non-applicable
NeuroTrainer,4.1,"San Francisco, CA",128.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Google,4.5,"Redwood City, CA",162.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Moveworks,4.8,"Mountain View, CA",144.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Walmart,3.4,"Sunnyvale, CA",161.0,Full-time,10000+ employees,company - public,retail,$10+ billion (usd)
Zscaler,4.7,"San Jose, CA",135.5,Full-time,1001 to 5000 employees,company - public,information technology,unknown / non-applicable
Confluent,4.5,"Mountain View, CA",126.0,Full-time,501 to 1000 employees,company - private,information technology,unknown / non-applicable
Big Fish Games,3.2,"Oakland, CA",137.5,Full-time,501 to 1000 employees,subsidiary or business segment,media,$50 to $100 million (usd)
Facebook,4.3,"San Francisco, CA",141.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Wish,3.4,"San Francisco, CA",135.5,Full-time,501 to 1000 employees,company - public,retail,$1 to $2 billion (usd)
Netflix,4.1,"Los Gatos, CA",174.5,Full-time,5001 to 10000 employees,company - public,information technology,$5 to $10 billion (usd)
Humanyze,3.5,"Menlo Park, CA",142.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
ONX,4.3,"San Francisco, CA",105.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Uber,4.0,"San Francisco, CA",125.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Palo Alto Networks,3.9,"San Francisco, CA",144.5,Full-time,5001 to 10000 employees,company - public,information technology,$2 to $5 billion (usd)
Extend,4.6,"San Francisco, CA",123.0,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Capital One - US,4.1,"San Francisco, CA",142.5,Full-time,10000+ employees,company - public,finance,$10+ billion (usd)
JD.com,3.6,"Mountain View, CA",112.0,Full-time,5001 to 10000 employees,company - public,retail,unknown / non-applicable
Nauto,4.1,"Palo Alto, CA",110.0,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Komodo Health,4.4,"San Francisco, CA",100.5,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Adobe,4.4,"San Francisco, CA",149.0,Full-time,10000+ employees,company - public,information technology,$5 to $10 billion (usd)
Yardzen,5.0,"Sausalito, CA",125.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
CitiusTech,3.8,"San Francisco, CA",153.5,Full-time,1001 to 5000 employees,company - private,information technology,$100 to $500 million (usd)
McAfee,3.6,"San Jose, CA",128.5,Full-time,5001 to 10000 employees,company - public,information technology,$10+ billion (usd)
Tempus Labs,3.2,"San Francisco, CA",133.5,Full-time,501 to 1000 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Confluent,4.5,"Mountain View, CA",126.0,Full-time,501 to 1000 employees,company - private,information technology,unknown / non-applicable
First Republic Bank,4.3,"San Francisco, CA",131.0,Full-time,1001 to 5000 employees,company - public,finance,$10+ billion (usd)
Granular,3.5,"San Francisco, CA",119.5,Full-time,201 to 500 employees,company - public,information technology,unknown / non-applicable
Walmart,3.4,"Sunnyvale, CA",147.5,Full-time,10000+ employees,company - public,retail,$10+ billion (usd)
CitiusTech,3.8,"San Francisco, CA",126.5,Full-time,1001 to 5000 employees,company - private,information technology,$100 to $500 million (usd)
Rivian Automotive,4.3,"Palo Alto, CA",118.0,Full-time,1001 to 5000 employees,company - private,manufacturing,unknown / non-applicable
Rivian Automotive,4.3,"Palo Alto, CA",118.0,Full-time,1001 to 5000 employees,company - private,manufacturing,unknown / non-applicable
Atlassian,4.6,"San Francisco, CA",144.5,Full-time,5001 to 10000 employees,company - public,information technology,unknown / non-applicable
Square,4.3,"San Francisco, CA",139.0,Full-time,5001 to 10000 employees,company - public,information technology,$1 to $2 billion (usd)
The Climate Corporation,3.6,"San Francisco, CA",135.0,Full-time,501 to 1000 employees,subsidiary or business segment,information technology,unknown / non-applicable
MasterClass,4.5,"San Francisco, CA",178.0,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Aon Corporation,3.8,"San Jose, CA",120.0,Part-time,10000+ employees,company - public,insurance,$10+ billion (usd)
Second Genome,4.7,"Brisbane, CA",135.0,Full-time,51 to 200 employees,company - private,biotech & pharmaceuticals,$5 to $10 million (usd)
Cisco Systems,4.3,"San Jose, CA",128.0,Full-time,10000+ employees,company - private,information technology,$10+ billion (usd)
Square,4.3,"San Francisco, CA",138.0,Full-time,5001 to 10000 employees,company - public,information technology,$1 to $2 billion (usd)
Roblox,4.4,"San Mateo, CA",141.5,Full-time,501 to 1000 employees,company - public,information technology,unknown / non-applicable
Microsoft,4.4,"Sunnyvale, CA",138.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Pixelberry Studios,4.5,"Mountain View, CA",129.0,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Abl Schools,4.1,"San Francisco, CA",131.0,Full-time,1 to 50 employees,company - private,business services,unknown / non-applicable
Teladoc Health,4.0,"Mountain View, CA",115.0,Full-time,1001 to 5000 employees,company - public,health care,$100 to $500 million (usd)
ALLDATA,4.1,"Elk Grove, CA",98.5,Full-time,501 to 1000 employees,subsidiary or business segment,information technology,$50 to $100 million (usd)
Aruba Networks,4.0,"Santa Clara, CA",135.0,Full-time,10000+ employees,company - public,information technology,unknown / non-applicable
3T Biosciences,4.1,"South San Francisco, CA",121.0,Full-time,1 to 50 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Tinder,4.0,"San Francisco, CA",134.5,Full-time,201 to 500 employees,company - public,information technology,unknown / non-applicable
SoFi,3.6,"San Francisco, CA",155.5,Full-time,1001 to 5000 employees,company - private,finance,unknown / non-applicable
Gilead Sciences,3.8,"Foster City, CA",119.5,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
BISHOP WISECARVER CORPORATION,3.5,"Pittsburg, CA",146.0,Full-time,51 to 200 employees,company - private,manufacturing,$10 to $25 million (usd)
Levi Strauss & Co.,4.1,"San Francisco, CA",112.5,Part-time,10000+ employees,company - public,retail,$2 to $5 billion (usd)
eHealth,3.7,"Santa Clara, CA",89.5,Full-time,1001 to 5000 employees,company - public,insurance,$100 to $500 million (usd)
Akoya Biosciences,4.0,"Menlo Park, CA",103.5,Full-time,51 to 200 employees,company - public,biotech & pharmaceuticals,unknown / non-applicable
Heluna Health,3.4,"Sacramento, CA",98.5,Full-time,1001 to 5000 employees,nonprofit organization,non-profit,$50 to $100 million (usd)
Stitch Fix,3.7,"San Francisco, CA",113.5,Full-time,5001 to 10000 employees,company - public,retail,$500 million to $1 billion (usd)
Step,2.6,"Palo Alto, CA",122.5,Full-time,201 to 500 employees,nonprofit organization,non-profit,$10 to $25 million (usd)
Facebook,4.3,"Fremont, CA",169.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Kaiser Permanente,4.0,"Oakland, CA",135.0,Full-time,10000+ employees,nonprofit organization,health care,$10+ billion (usd)
Facebook,4.3,"Fremont, CA",144.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Databricks,4.8,"San Francisco, CA",184.0,Full-time,1001 to 5000 employees,company - private,information technology,unknown / non-applicable
Teladoc Health,4.0,"Mountain View, CA",119.5,Full-time,1001 to 5000 employees,company - public,health care,$100 to $500 million (usd)
Aquabyte,4.2,"San Francisco, CA",138.5,Full-time,1 to 50 employees,company - private,information technology,less than $1 million (usd)
AVANADE,4.1,"Concord, CA",122.5,Full-time,10000+ employees,company - private,information technology,$2 to $5 billion (usd)
Pocket Worlds,4.6,"San Francisco, CA",166.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
eBay Inc.,4.0,"San Francisco, CA",148.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
EOS,3.5,"Fremont, CA",117.5,Full-time,501 to 1000 employees,company - private,information technology,unknown / non-applicable
Akoya Biosciences,4.0,"Menlo Park, CA",103.0,Full-time,51 to 200 employees,company - public,biotech & pharmaceuticals,unknown / non-applicable
Teladoc Health,4.0,"Mountain View, CA",114.5,Full-time,1001 to 5000 employees,company - public,health care,$100 to $500 million (usd)
Vectra,2.8,"San Jose, CA",135.0,Full-time,51 to 200 employees,company - private,accounting & legal,$50 to $100 million (usd)
Facebook,4.3,"Menlo Park, CA",152.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Epic,4.7,"Redwood City, CA",118.5,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Facebook,4.3,"Menlo Park, CA",166.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Wish,3.4,"San Francisco, CA",162.5,Full-time,501 to 1000 employees,company - public,retail,$1 to $2 billion (usd)
Energy Solutions,3.7,"Oakland, CA",109.5,Full-time,51 to 200 employees,company - private,"oil, gas, energy & utilities",$10 to $25 million (usd)
Sentient Energy,3.9,"Santa Clara, CA",136.0,Full-time,10000+ employees,company - private,"oil, gas, energy & utilities",$10+ billion (usd)
Amazon,3.8,"East Palo Alto, CA",153.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
PayPal,4.1,"San Jose, CA",135.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
eBay,4.0,"San Francisco, CA",157.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Wish,3.4,"San Francisco, CA",145.0,Full-time,501 to 1000 employees,company - public,retail,$1 to $2 billion (usd)
PicnicHealth,4.7,"San Francisco, CA",140.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Grove Collaborative,3.4,"San Francisco, CA",135.5,Full-time,201 to 500 employees,company - private,retail,unknown / non-applicable
Ursus,4.4,"Menlo Park, CA",138.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Facebook,4.3,"Menlo Park, CA",153.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Vitria Technology,3.5,"Menlo Park, CA",125.0,Full-time,201 to 500 employees,company - private,information technology,$25 to $50 million (usd)
Lyra Health,4.8,"Burlingame, CA",137.5,Full-time,201 to 500 employees,company - private,health care,$100 to $500 million (usd)
Feedzai,4.1,"San Mateo, CA",132.0,Full-time,201 to 500 employees,company - private,information technology,$50 to $100 million (usd)
One Concern,3.7,"Menlo Park, CA",116.0,Full-time,51 to 200 employees,company - private,information technology,$1 to $5 million (usd)
BEPC Inc,3.7,"San Francisco, CA",124.5,Full-time,51 to 200 employees,company - private,business services,$10 to $25 million (usd)
Calico,4.2,"South San Francisco, CA",140.5,Full-time,201 to 500 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Akoya Biosciences,4.0,"Menlo Park, CA",103.5,Full-time,51 to 200 employees,company - public,biotech & pharmaceuticals,unknown / non-applicable
eHealth,3.7,"Santa Clara, CA",89.5,Full-time,1001 to 5000 employees,company - public,insurance,$100 to $500 million (usd)
Heluna Health,3.4,"Sacramento, CA",98.5,Full-time,1001 to 5000 employees,nonprofit organization,non-profit,$50 to $100 million (usd)
The Climate Corporation,3.6,"San Francisco, CA",129.5,Full-time,501 to 1000 employees,subsidiary or business segment,information technology,unknown / non-applicable
Stitch Fix,3.7,"San Francisco, CA",113.5,Full-time,5001 to 10000 employees,company - public,retail,$500 million to $1 billion (usd)
Step,2.6,"Palo Alto, CA",122.5,Full-time,201 to 500 employees,nonprofit organization,non-profit,$10 to $25 million (usd)
Kaiser Permanente,4.0,"Oakland, CA",135.0,Full-time,10000+ employees,nonprofit organization,health care,$10+ billion (usd)
Facebook,4.3,"Fremont, CA",169.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Facebook,4.3,"Fremont, CA",144.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
StubHub,3.4,"San Francisco, CA",157.5,Full-time,1001 to 5000 employees,company - private,"arts, entertainment & recreation",$1 to $2 billion (usd)
Sensor Tower,4.0,"San Francisco, CA",138.0,Full-time,51 to 200 employees,company - private,business services,unknown / non-applicable
Roblox,4.4,"San Mateo, CA",141.5,Full-time,501 to 1000 employees,company - public,information technology,unknown / non-applicable
Teladoc Health,4.0,"Mountain View, CA",119.5,Full-time,1001 to 5000 employees,company - public,health care,$100 to $500 million (usd)
Databricks,4.8,"San Francisco, CA",184.0,Full-time,1001 to 5000 employees,company - private,information technology,unknown / non-applicable
JD.com,3.6,"Mountain View, CA",146.5,Full-time,5001 to 10000 employees,company - public,retail,unknown / non-applicable
AutoZone,3.3,"Elk Grove, CA",101.5,Full-time,10000+ employees,company - public,retail,$10+ billion (usd)
DocuSign,4.6,"San Francisco, CA",104.0,Full-time,1001 to 5000 employees,company - public,information technology,$1 to $2 billion (usd)
Aquabyte,4.2,"San Francisco, CA",138.5,Full-time,1 to 50 employees,company - private,information technology,less than $1 million (usd)
AVANADE,4.1,"Concord, CA",122.5,Full-time,10000+ employees,company - private,information technology,$2 to $5 billion (usd)
Pocket Worlds,4.6,"San Francisco, CA",166.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Opendoor,3.8,"San Francisco, CA",144.0,Full-time,1001 to 5000 employees,company - public,real estate,$5 to $10 billion (usd)
AutoZone,3.3,"Elk Grove, CA",101.5,Full-time,10000+ employees,company - public,retail,$10+ billion (usd)
JD.com,3.6,"Mountain View, CA",146.5,Full-time,5001 to 10000 employees,company - public,retail,unknown / non-applicable
Aquabyte,4.2,"San Francisco, CA",138.5,Full-time,1 to 50 employees,company - private,information technology,less than $1 million (usd)
EOS,3.5,"Fremont, CA",117.5,Full-time,501 to 1000 employees,company - private,information technology,unknown / non-applicable
Amazon,3.8,"San Francisco, CA",169.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
AVANADE,4.1,"Concord, CA",122.5,Full-time,10000+ employees,company - private,information technology,$2 to $5 billion (usd)
Amazon,3.8,"Patterson, CA",125.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Pocket Worlds,4.6,"San Francisco, CA",166.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
STAR Labs,3.5,"Los Gatos, CA",126.5,Contract,1 to 50 employees,company - private,business services,unknown / non-applicable
tunein,4.4,"San Francisco, CA",141.0,Full-time,51 to 200 employees,company - private,media,unknown / non-applicable
eBay Inc.,4.0,"San Francisco, CA",148.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Chan Zuckerberg Biohub,3.4,"San Francisco, CA",117.5,Full-time,1 to 50 employees,nonprofit organization,non-profit,unknown / non-applicable
Thermo Fisher Scientific,3.8,"South San Francisco, CA",124.0,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
Juniper Networks,3.9,"Cupertino, CA",120.5,Full-time,5001 to 10000 employees,company - public,telecommunications,$2 to $5 billion (usd)
Amazon,3.8,"East Palo Alto, CA",153.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
BlackRock,4.1,"San Francisco, CA",155.5,Full-time,10000+ employees,company - public,finance,$10+ billion (usd)
Spin,4.3,"San Francisco, CA",139.0,Full-time,501 to 1000 employees,company - private,information technology,unknown / non-applicable
Facebook,4.3,"Menlo Park, CA",152.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Vungle,4.0,"San Francisco, CA",166.0,Full-time,201 to 500 employees,company - private,information technology,$500 million to $1 billion (usd)
Facebook,4.3,"Menlo Park, CA",155.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Epic,4.7,"Redwood City, CA",118.5,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Amazon,3.8,"Patterson, CA",125.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Houzz,4.0,"Palo Alto, CA",129.5,Full-time,1001 to 5000 employees,company - private,information technology,unknown / non-applicable
Fiserv,3.4,"San Jose, CA",110.5,Full-time,10000+ employees,company - public,finance,$5 to $10 billion (usd)
Osaro,4.8,"San Francisco, CA",154.5,Full-time,1 to 50 employees,company - private,information technology,less than $1 million (usd)
Embark Trucks,4.4,"San Francisco, CA",153.5,Full-time,51 to 200 employees,company - private,transportation & logistics,unknown / non-applicable
Accenture,4.0,"San Francisco, CA",117.0,Full-time,10000+ employees,company - public,business services,$10+ billion (usd)
Wish,3.4,"San Francisco, CA",162.5,Full-time,501 to 1000 employees,company - public,retail,$1 to $2 billion (usd)
Datatron Technologies,4.2,"San Francisco, CA",124.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Lemonaid Health,4.9,"San Francisco, CA",99.5,Full-time,1 to 50 employees,company - private,health care,$10 to $25 million (usd)
Blue River Technology,4.5,"Sunnyvale, CA",134.0,Full-time,51 to 200 employees,subsidiary or business segment,information technology,unknown / non-applicable
Amazon,3.8,"East Palo Alto, CA",153.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Sentient Energy,3.9,"Santa Clara, CA",136.0,Full-time,10000+ employees,company - private,"oil, gas, energy & utilities",$10+ billion (usd)
Adobe,4.4,"San Jose, CA",138.5,Full-time,10000+ employees,company - public,information technology,$5 to $10 billion (usd)
Thermo Fisher - America,3.8,"Fremont, CA",105.5,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
NextEra Energy,3.8,"San Francisco, CA",85.0,Full-time,10000+ employees,company - public,"oil, gas, energy & utilities",$10+ billion (usd)
Facebook,4.3,"Menlo Park, CA",152.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
PayPal,4.1,"San Jose, CA",135.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
PicnicHealth,4.7,"San Francisco, CA",140.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
